Rank,Ticker,Price,Sector,Industry,RS Percentile,ATR,ADR,AvgVol10,52WKH,52WKL,%_From_52WKL,%_From_52WKH,Recovery_Score
117,CELC,88.38,Healthcare,Biotechnology,97.0,7.9164,6.9586,2239420.0,151.02,13.47,556.12,-41.48,556.12
23,AMDL,58.14,ETF,ETF,98.0,10.4903,8.4909,3386640.0,83.79,8.88,554.73,-30.61,554.73
55,ICHR,82.87,Technology,Semiconductor Equipment & Materials,98.0,10.8701,9.5415,1118770.0,113.58,13.12,531.63,-27.04,531.63
45,SOXL,135.47,ETF,ETF,98.0,33.8793,26.4743,61011070.0,302.0,22.57,500.22,-55.14,500.22
41,STX,787.66,Technology,Computer Hardware,98.0,80.94,67.7207,4629510.0,1145.0,138.3,469.53,-31.21,469.53
53,VICR,237.62,Technology,Electronic Components,98.0,31.5418,27.3454,724190.0,382.65,41.76,469.01,-37.9,469.01
15,MXL,71.84,Technology,Semiconductors,98.0,13.1211,11.6111,2977390.0,128.3,12.77,462.57,-44.01,462.57
90,AAOI,102.41,Technology,Communication Equipment,97.0,14.1626,13.0548,9241760.0,233.67,18.5,453.57,-56.17,453.57
67,TSEM,234.1,Technology,Semiconductors,98.0,22.0821,18.5757,2087910.0,319.94,43.12,442.9,-26.83,442.9
50,AEHR,81.05,Technology,Semiconductor Equipment & Materials,98.0,11.1114,9.005,3734220.0,126.62,14.99,440.69,-35.99,440.69
85,INTC,95.04,Technology,Semiconductors,97.0,9.2493,7.8921,104730270.0,142.35,18.97,401.0,-33.23,401.0
132,HUT,91.45,Financial Services,Capital Markets,97.0,10.8691,10.018,3693560.0,140.8,18.68,389.56,-35.05,389.56
75,DOCN,118.91,Technology,Software - Infrastructure,98.0,12.3486,11.5801,3461260.0,187.5,25.56,365.22,-36.58,365.22
144,CIEN,374.41,Technology,Communication Equipment,97.0,31.1143,27.7586,1717640.0,637.51,83.2,350.01,-41.27,350.01
84,UCTT,92.43,Technology,Semiconductor Equipment & Materials,97.0,13.9243,12.4643,1629980.0,144.22,21.28,334.35,-35.91,334.35
52,VPG,103.89,Technology,Scientific & Technical Instruments,98.0,11.555,10.3021,560060.0,151.78,25.58,306.14,-31.55,306.14
218,FORM,105.57,Technology,Semiconductor Equipment & Materials,96.0,12.5671,10.4493,1634310.0,160.27,26.08,304.79,-34.13,304.79
104,VIAV,38.16,Technology,Communication Equipment,97.0,3.2514,2.9764,4619210.0,60.43,9.62,296.67,-36.85,296.67
148,SHAZ,63.64,Technology services,Data processing services,97.0,9.5114,8.5521,2123330.0,97.48,16.55,284.53,-34.71,284.53
65,PENG,60.41,Technology,Information Technology Services,98.0,9.9751,9.2192,6653890.0,89.86,16.04,276.62,-32.77,276.62
59,SIMO,264.33,Electronic technology,Semiconductors,98.0,27.3736,23.4443,692140.0,355.0,71.16,271.46,-25.54,271.46
128,AIP,31.04,Technology,Semiconductors,97.0,3.5956,3.2357,863520.0,50.26,8.42,268.65,-38.24,268.65
147,MKSI,324.69,Technology,Scientific & Technical Instruments,97.0,29.8207,24.8371,1287220.0,447.62,88.49,266.92,-27.46,266.92
129,ACMR,83.92,Technology,Semiconductor Equipment & Materials,97.0,10.9114,9.0225,1340730.0,127.19,23.03,264.39,-34.02,264.39
238,NBIS,177.71,Communication Services,Internet Content & Information,95.0,25.3185,22.3014,17611250.0,299.86,49.0,262.67,-40.74,262.67
195,TER,322.36,Technology,Semiconductor Equipment & Materials,96.0,35.7967,30.096,3627360.0,487.91,89.18,261.47,-33.93,261.47
832,ECHO,92.0,Communication Services,Telecom Services,87.0,4.6171,4.3221,4592100.0,147.25,26.04,253.3,-37.52,253.3
176,LRCX,313.3,Technology,Semiconductor Equipment & Materials,96.0,29.9636,24.3478,11646170.0,438.5,90.94,244.51,-28.55,244.51
156,AMAT,529.66,Technology,Semiconductor Equipment & Materials,96.0,51.7971,43.5007,9511230.0,739.67,154.47,242.89,-28.39,242.89
184,POWL,232.79,Industrials,Electrical Equipment & Parts,96.0,15.1486,13.0386,779260.0,328.0,69.0,237.38,-29.03,237.38
204,TTMI,132.0,Technology,Electronic Components,96.0,12.4421,10.9736,2426080.0,223.83,39.2,236.73,-41.03,236.73
243,COHR,277.6,Technology,Scientific & Technical Instruments,95.0,27.6802,25.2688,4421010.0,440.0,84.35,229.1,-36.91,229.1
415,NKTR,68.26,Healthcare,Biotechnology,93.0,4.3171,4.1864,887980.0,109.0,21.02,224.74,-37.38,224.74
83,CDNL,71.23,Industrials,Engineering & Construction,97.0,7.2577,7.1554,778630.0,96.4,21.98,224.07,-26.11,224.07
152,VSH,37.81,Technology,Semiconductors,96.0,4.4543,3.8893,6740690.0,69.47,11.77,221.24,-45.57,221.24
115,ALAB,303.62,Technology,Semiconductors,97.0,46.3351,40.5294,4560920.0,499.48,96.79,213.69,-39.21,213.69
249,ONTO,279.85,Technology,Semiconductor Equipment & Materials,95.0,30.9649,25.707,1277340.0,386.46,89.4,213.03,-27.59,213.03
171,KLIC,97.22,Technology,Semiconductor Equipment & Materials,96.0,9.9479,8.6564,989090.0,135.8,31.32,210.41,-28.41,210.41
139,MRVL,188.68,Technology,Semiconductors,97.0,21.0271,17.8043,26998660.0,329.88,61.44,207.1,-42.8,207.1
836,GPCR,48.48,Healthcare,Biotechnology,87.0,3.0037,2.9144,616080.0,94.9,15.8,206.84,-48.91,206.84
267,AMKR,62.94,Technology,Semiconductor Equipment & Materials,95.0,6.1129,5.0357,4697560.0,96.68,20.87,201.58,-34.9,201.58
246,SITM,554.97,Electronic technology,Semiconductors,95.0,52.4407,45.2787,479400.0,901.81,186.49,197.59,-38.46,197.59
274,GLW,154.61,Technology,Electronic Components,95.0,19.4945,16.728,11579350.0,271.78,53.29,190.13,-43.11,190.13
170,COHU,51.19,Technology,Semiconductor Equipment & Materials,96.0,5.7464,4.9064,1325950.0,74.6,17.8,187.58,-31.38,187.58
427,GGLL,106.04,ETF,ETF,93.0,7.2481,6.6245,1062310.0,153.0,37.48,182.92,-30.69,182.92
302,PDFS,51.14,Technology,Software - Application,94.0,4.585,3.9136,643320.0,71.69,18.12,182.23,-28.67,182.23
177,STRL,638.56,Industrials,Engineering & Construction,96.0,53.5828,44.8921,656710.0,1005.68,230.0,177.63,-36.5,177.63
311,MRNA,61.82,Healthcare,Biotechnology,94.0,5.0769,4.8261,8359530.0,85.6,22.28,177.47,-27.78,177.47
247,SMTC,124.96,Electronic technology,Semiconductors,95.0,12.1364,9.7514,2809440.0,177.35,46.02,171.53,-29.54,171.53
259,VECO,52.27,Technology,Semiconductor Equipment & Materials,95.0,5.35,4.6764,1181040.0,86.63,19.29,170.97,-39.66,170.97
180,ARM,267.19,Technology,Semiconductors,96.0,28.357,24.5941,6534460.0,452.7,100.02,167.14,-40.98,167.14
281,KLAC,212.75,Technology,Semiconductor Equipment & Materials,95.0,21.3526,18.509,13160490.0,307.37,83.22,155.65,-30.78,155.65
364,MOD,229.34,Consumer Cyclical,Auto Parts,94.0,16.1071,14.8371,1337390.0,323.25,90.41,153.67,-29.05,153.67
335,LGN,68.24,Industrials,Engineering & Construction,94.0,5.4426,4.9326,1353630.0,107.24,26.96,153.12,-36.37,153.12
183,FLEX,119.25,Technology,Electronic Components,96.0,10.4115,8.9265,4189560.0,166.86,47.83,149.32,-28.53,149.32
1164,SEI,60.28,Industrial services,Oilfield services/Equipment,83.0,5.426,5.0221,3871020.0,86.19,24.57,145.34,-30.06,145.34
719,GRAL,72.62,Healthcare,Diagnostics & Research,89.0,4.0152,4.0115,497700.0,118.84,29.95,142.47,-38.89,142.47
300,SBIT,57.06,ETF,ETF,95.0,3.7194,2.7308,617560.0,76.52,23.6,141.78,-25.43,141.78
266,AIS,66.34,ETF,ETF,95.0,4.7151,3.365,688960.0,88.8,27.77,138.89,-25.29,138.89
418,TECL,177.65,ETF,ETF,93.0,18.6,15.3464,837690.0,275.4,75.16,136.36,-35.49,136.36
450,CRDO,202.68,Technology,Semiconductors,93.0,25.3661,23.1589,6549280.0,308.67,86.48,134.37,-34.34,134.37
151,HPE,45.82,Technology,Communication Equipment,96.0,2.7918,2.5558,19890290.0,64.25,19.64,133.3,-28.68,133.3
619,TSMX,71.73,ETF,ETF,90.0,8.1649,6.9566,1130670.0,106.32,30.79,132.97,-32.53,132.97
347,SEDG,53.47,Producer manufacturing,Electrical products,94.0,4.9832,4.6379,2142360.0,81.25,23.01,132.38,-34.19,132.38
343,EWY,162.54,ETF,ETF,94.0,10.7086,7.575,25325420.0,220.89,70.36,131.01,-26.42,131.01
495,MTSI,267.36,Technology,Semiconductors,92.0,22.9059,18.5395,1673200.0,418.9,118.16,126.27,-36.18,126.27
704,OUST,37.04,Technology,Electronic Components,89.0,6.4021,5.9514,5057840.0,63.79,16.4,125.85,-41.93,125.85
313,CEVA,37.97,Technology,Semiconductors,94.0,3.9362,3.3555,699890.0,51.6,17.02,123.09,-26.41,123.09
367,FLKR,53.09,ETF,ETF,94.0,3.3495,2.3402,784400.0,72.49,23.88,122.32,-26.76,122.32
957,AEIS,284.05,Industrials,Electrical Equipment & Parts,86.0,21.5936,17.9686,639330.0,397.44,128.4,121.22,-28.53,121.22
455,CBRL,53.61,Consumer Cyclical,Restaurants,92.0,2.5614,2.5214,941330.0,71.93,24.85,115.73,-25.47,115.73
408,USD,82.26,ETF,ETF,93.0,8.3996,6.8111,835410.0,116.5,38.66,112.78,-29.39,112.78
459,ACLS,136.42,Technology,Semiconductor Equipment & Materials,92.0,13.0521,11.1507,548340.0,193.78,65.64,107.83,-29.6,107.83
621,ALGM,46.48,Technology,Semiconductors,90.0,5.8586,4.9229,3103410.0,71.77,22.41,107.41,-35.24,107.41
585,SANM,197.24,Electronic technology,Electronic production equipment,91.0,13.2386,12.03,708800.0,288.68,95.49,106.56,-31.68,106.56
1290,CVLT,147.81,Technology,Software - Application,81.0,6.2999,6.0885,676230.0,200.68,71.75,106.01,-26.35,106.01
659,MTZ,329.59,Industrials,Engineering & Construction,90.0,23.1671,20.2425,998980.0,441.43,160.08,105.89,-25.34,105.89
746,DIOD,87.02,Technology,Semiconductors,89.0,6.6493,5.8293,455030.0,125.99,42.28,105.82,-30.93,105.82
827,ENTG,138.74,Technology,Semiconductor Equipment & Materials,87.0,12.7046,10.9918,3061820.0,186.94,67.97,104.12,-25.78,104.12
226,DRAM,52.72,ETF,ETF,95.0,5.3704,3.6089,78341150.0,81.34,26.14,101.68,-35.19,101.68
2151,CLS,301.34,Technology,Electronic Components,70.0,23.955,23.1714,1668600.0,474.03,153.11,96.81,-36.43,96.81
626,ON,87.37,Technology,Semiconductors,90.0,6.0486,4.8836,10710840.0,134.92,44.56,96.07,-35.24,96.07
1558,NXT,103.1,Technology,Solar,78.0,8.0739,7.4446,2593580.0,163.13,52.61,95.97,-36.8,95.97
1727,SQM,69.81,Process industries,Chemicals: specialty,75.0,2.9136,2.6921,894120.0,98.0,35.67,95.71,-28.77,95.71
671,SNEX,102.99,Finance,Investment banks/Brokers,90.0,7.0943,6.6657,743250.0,141.99,53.53,92.4,-27.47,92.4
941,MRCY,96.08,Industrials,Aerospace & Defense,86.0,7.05,6.535,565760.0,128.45,50.13,91.66,-25.2,91.66
1834,LMND,67.18,Financial Services,Insurance - Property & Casualty,74.0,4.8725,4.6054,1496610.0,99.9,35.7,88.18,-32.75,88.18
1864,NVMI,437.46,Technology,Semiconductor Equipment & Materials,74.0,33.6164,27.9471,573680.0,615.99,232.73,87.97,-28.98,87.97
679,GFS,57.48,Technology,Semiconductors,89.0,4.6566,4.0063,3393960.0,92.55,31.51,82.42,-37.89,82.42
982,AAON,111.42,Industrials,Building Products & Equipment,85.0,6.9393,6.5436,953380.0,150.46,62.0,79.71,-25.95,79.71
1746,INOD,60.81,Technology,Information Technology Services,75.0,4.6693,4.5943,1040280.0,125.14,34.23,77.65,-51.41,77.65
1734,RH,187.88,Consumer Cyclical,Specialty Retail,75.0,9.7757,9.5129,808680.0,257.0,106.3,76.75,-26.89,76.75
967,VAL,76.54,Energy,Oil & Gas Drilling,86.0,3.1431,2.9781,789180.0,114.12,43.53,75.83,-32.93,75.83
1085,DY,407.11,Industrials,Engineering & Construction,84.0,21.0896,19.5196,429730.0,566.47,233.0,74.73,-28.13,74.73
582,AKAM,120.19,Technology,Software - Infrastructure,91.0,5.8714,5.7807,3631970.0,165.45,69.78,72.24,-27.36,72.24
