Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,Earning_Date,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume,IPO DATE
343,MIDDV,139.52,203,,,94.0,,,,,,1055.0,1055.0,139.52,81.01,0,YES,,,,,,2,0.0,1463,NO,NO,2026-07-02,1463.0,07/07/2026
490,LILAP,20.04,147517,Communication Services,Telecom Services,92.0,,,,1.5364,1.5186,397304.0,876880.0,29.4,11.19,0,YES,,,,,,24,0.0,147517,NO,NO,2026-06-30,2000600.0,07/07/2026
605,PS,35.38,445502,Financial Services,Asset Management,90.0,34.0,,,2.1757,2.1371,597731.0,233220.0,54.94,22.01,14152000512,YES,,,36.0,,,46,1.76,445502,NO,NO,2026-04-29,3286100.0,07/07/2026
796,QNT,83.17,5262339,Technology,Software - Application,88.0,,,,10.0036,9.9843,5561520.0,4255750.0,86.79,50.1,21564780544,YES,,,,,,21,0.0,5262339,NO,NO,2026-06-04,29612000.0,07/07/2026
1598,AADX,23.08,552899,Industrials,Aerospace & Defense,76.0,,,,1.8456,1.8449,2623504.0,1385990.0,24.24,17.08,0,YES,,,,,,22,0.0,552899,NO,NO,2026-06-03,18035300.0,07/07/2026
1879,HONA,237.7,7121405,Industrials,Aerospace & Defense,73.0,,,,,,2317846.0,3011260.0,297.5,200.0,75336572928,YES,,,,,,14,0.0,7121405,NO,NO,2026-06-29,8471200.0,07/07/2026
3734,KARD,23.78,303549,Healthcare,Biotechnology,47.0,,,,,,1270710.0,1270710.0,27.0,16.25,2124484352,YES,,,,,,11,0.0,303549,NO,NO,2026-06-18,5844400.0,07/07/2026
3872,INIO,36.17,4756891,Industrials,Specialty Industrial Machinery,45.0,,,,3.3164,3.16,5047961.0,5600150.0,42.95,31.06,27127498752,YES,,,,,,19,0.0,4756891,NO,NO,2026-07-01,9424700.0,07/07/2026
3948,BXDC,21.15,1517791,Real Estate,REIT - Specialty,44.0,20.0,,,0.9071,0.9071,1568861.0,1598700.0,22.9,19.6,2127689984,YES,,,,,,35,0.0,1517791,NO,NO,2026-05-14,10206300.0,07/07/2026
4200,FRBT,19.03,81574,Financial Services,Banks - Diversified,40.0,,,,0.57,0.57,288840.0,100490.0,20.65,17.48,0,YES,,,,,,16,0.0,81574,NO,NO,2026-06-11,2502100.0,07/07/2026
4336,LCLN,23.47,159992,Financial Services,Capital Markets,38.0,51.0,,,1.3811,1.3775,754293.0,455460.0,25.3,22.0,742990208,YES,,,,,,31,0.0,159992,NO,NO,2026-05-20,8740300.0,07/07/2026
4465,DPC,48.52,1083607,Industrials,Aerospace & Defense,37.0,,,,,,5807250.0,5807250.0,53.5,42.9,7042764800,YES,,,,,,7,0.0,1083607,NO,NO,2026-06-25,18650400.0,07/07/2026
4543,WHK,26.8,210164,Energy,Oil & Gas Midstream,36.0,,,,1.12,1.1011,380658.0,177800.0,28.6,25.49,616308352,YES,,,,,,18,0.0,210164,NO,NO,2026-06-09,2798300.0,07/07/2026
4642,GOOGN,51.24,7596138,Technology services,Internet software/Services,34.0,,,,1.3982,1.2639,8498095.0,4858280.0,55.97,48.0,0,YES,,,,,,22,0.99,7596138,NO,NO,2026-06-03,62417700.0,07/07/2026
4669,GOOGM,51.49,6776457,Technology services,Internet software/Services,34.0,,,,1.2643,1.1457,10308680.0,4924600.0,52.51,48.05,0,YES,,,,,,22,0.24,6776457,NO,NO,2026-06-03,62405600.0,07/07/2026
4888,FDXF,152.68,978079,Industrials,Integrated Freight & Logistics,31.0,49.0,,,9.0007,8.9129,2428811.0,2449750.0,200.0,135.0,22734991360,YES,,,,,,27,0.17,978079,NO,NO,2026-06-01,7419200.0,07/07/2026
5117,ODTX,16.47,154415,Healthcare,Biotechnology,28.0,26.0,,,1.3314,1.3271,438552.0,457950.0,20.3,15.35,791075776,YES,,,17.23,,,39,0.0,154415,NO,NO,2026-05-08,3170900.0,07/07/2026
5432,SPCX,160.42,185366623,Industrials,Aerospace & Defense,23.0,,,,17.9875,16.2054,169218092.0,119647080.0,225.64,147.11,2113403092992,YES,,,,,,15,0.0,185366623,YES,NO,2026-06-12,519234800.0,07/07/2026
6055,BMNP,86.21,23828,Finance,Financial conglomerates,15.0,,,,,,96000.0,85230.0,92.99,79.73,0,YES,,,,,,13,1.18,23828,NO,NO,2026-06-17,184500.0,07/07/2026
6081,SPTX,19.37,141192,Healthcare,Biotechnology,14.0,86.0,,,1.5546,1.5546,399609.0,367090.0,23.0,14.85,1036886848,YES,,,18.25,,,44,0.0,141434,NO,NO,2026-05-01,4697700.0,07/07/2026
6357,AVLN,27.65,518393,Healthcare,Biotechnology,11.0,71.0,,,2.9025,2.8796,564268.0,752770.0,33.32,24.15,1225810048,YES,,,29.15,,,45,0.0,518393,NO,NO,2026-04-30,6512000.0,07/07/2026
6393,PSUS,38.06,270913,Financial Services,Asset Management,10.0,32.0,,,1.1225,1.0775,950217.0,488910.0,44.0,36.73,0,YES,,,39.35,,,46,0.26,270913,NO,NO,2026-04-29,9103800.0,07/07/2026
6437,PBLS,29.2,273255,Healthcare,Biotechnology,9.0,,,,2.4557,2.4557,1320656.0,640430.0,34.47,24.51,3571523584,YES,,,,,,17,0.0,273255,NO,NO,2026-06-10,5496700.0,07/07/2026
6511,SMCIP,48.23,161592,Technology,Computer Hardware,8.0,,,,3.575,2.99,5492020.0,2174640.0,62.38,47.44,0,YES,,,,,,16,0.0,161592,NO,NO,2026-06-11,50814100.0,07/07/2026
6576,BSP,36.27,5711776,Technology,Software - Application,8.0,,,,,,12335950.0,12335950.0,43.98,30.7,0,YES,,,,,,3,0.0,5711776,NO,NO,2026-07-01,17370300.0,07/07/2026
6623,COAG,29.97,618121,Healthcare,Biotechnology,7.0,88.0,,,3.4271,3.3829,353593.0,400680.0,38.87,23.0,1399761024,YES,,,28.04,,,44,0.0,618121,NO,NO,2026-05-01,4113600.0,07/07/2026
6668,BOT,33.78,986339,Financial Services,Asset Management,6.0,90.0,,,5.6086,5.6086,875959.0,858500.0,59.0,19.2,798876672,YES,,,,,,38,0.0,986339,NO,NO,2026-05-15,1982600.0,07/07/2026
6776,OCTV,18.24,1024914,Technology,Software - Application,5.0,11.0,,,0.7621,0.65,1721806.0,1369820.0,30.0,15.61,4896305152,YES,,,,,,30,0.0,1024914,NO,NO,2026-06-10,5410200.0,07/07/2026
6803,LFTO,23.19,685460,Communication Services,Advertising Agencies,4.0,,,,2.2864,2.2814,1724405.0,1101990.0,30.1,22.75,3860683520,YES,,,,,,21,0.0,685460,NO,NO,2026-06-04,11661500.0,07/07/2026
6910,FRVO,27.88,3390168,Utilities,Utilities - Renewable,3.0,1.0,,,2.8764,2.7579,4499185.0,3729870.0,42.65,27.04,8214701056,YES,,,,,,36,0.0,3390168,NO,NO,2026-05-13,35164300.0,07/07/2026
7074,XE,18.32,3809802,Industrials,Specialty Industrial Machinery,1.0,1.0,,,2.0436,1.9179,6660272.0,5561250.0,37.1,17.12,5266243584,YES,,,22.87,,,49,0.81,3809802,NO,NO,2026-04-24,44389400.0,07/07/2026
7080,CBRS,192.01,4452198,Technology,Semiconductors,1.0,7.0,,,23.9779,22.6371,8829502.0,10741430.0,386.34,160.81,42789535744,YES,,,,,,35,0.0,4540765,NO,NO,2026-05-14,33497900.0,07/07/2026
7096,HAWK,19.97,574267,Industrials,Aerospace & Defense,0.0,2.0,,,2.0354,2.0089,1557176.0,1512930.0,35.73,18.71,1956260480,YES,,,26.32,,,40,0.0,574267,NO,NO,2026-05-07,11444900.0,07/07/2026
7116,PWRL,15.03,81144,Financial Services,Asset Management,0.0,3.0,,,1.4471,1.345,391980.0,230400.0,40.0,12.77,649941248,YES,,,,,,27,0.0,81144,NO,NO,2026-05-27,1094600.0,07/07/2026
7131,OPI,16.44,39425,Real Estate,REIT - Office,0.0,,,,,,42180.0,42180.0,49.69,15.14,360916800,YES,,,,,,11,0.0,39425,NO,NO,2026-06-30,129500.0,07/07/2026
7153,MFPVV,35.05,100372,Industrials,Specialty Industrial Machinery,0.0,,,,,,82300.0,82300.0,200.0,21.0,1584771328,YES,,,,,,6,0.0,100372,NO,NO,2026-07-02,187700.0,07/07/2026
6435,EROK,20.91,210628,Energy,Oil & Gas Equipment & Services,12.0,15.0,,,1.1404,1.1404,513394.0,308020.0,24.8,19.75,511368448,YES,,,,,,36,0.0,210628,NO,NO,2026-05-14,4882400.0,07/08/2026
6612,VCRE,15.02,607031,Healthcare,Biotechnology,10.0,,,,,,99800.0,99800.0,17.8,13.55,4229922048,YES,,,,,,2,0.0,607031,NO,YES,2026-07-07,607031.0,07/08/2026
