Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,Earning_Date,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume,%_From_52WKL,%_From_52WKH
4,SNDK,1354.82,1411.08,19626369,Electronic technology,Computer peripherals,98.0,1.0,96.0,98.0,219.5732,177.5846,13040186.0,13707000.0,2354.39,40.1,,200634957824,NO,1876.99,1724.3,781.73,1741.19,1033.87,357,0.0,19626369,YES,NO,2025-11-26,43000900,3278.6,-42.46
7,AXTI,45.86,45.57,8144858,Technology,Semiconductor Equipment & Materials,98.0,0.0,0.0,97.0,8.3821,7.2836,10370695.0,9225480.0,143.16,1.85,,3000307200,NO,64.19,90.81,44.52,86.84,59.39,7082,0.0,8144858,NO,NO,2024-02-23,103105600,2378.92,-67.97
97,VEEE,38.7,36.18,6303818,Consumer Cyclical,Recreational Vehicles,97.0,99.0,98.0,3.0,9.0455,8.2573,2155975.0,12238240.0,128.02,4.16,,20485072,NO,12.11,8.74,40.1,9.19,23.41,1253,0.0,6303818,NO,NO,2026-07-13,75587000,830.29,-69.77
44,BE,214.96,206.73,14533705,Industrials,Electrical Equipment & Parts,98.0,2.0,50.0,95.0,30.8089,27.9664,12059614.0,12942170.0,351.28,24.04,,61144055808,NO,274.04,276.38,173.33,269.87,197.31,2005,0.0,14533705,YES,NO,2024-11-15,64722200,794.18,-38.81
21,MU,848.95,853.2,62804973,Technology,Semiconductors,98.0,4.0,98.0,98.0,81.3564,66.085,51569185.0,43376610.0,1255.0,103.38,,958798299136,NO,1023.42,933.69,483.09,936.24,591.2,10613,0.0,62804973,YES,NO,2013-10-11,153906100,721.19,-32.35
30,LITE,732.82,706.23,4925328,Technology,Communication Equipment,98.0,4.0,5.0,97.0,67.5088,60.1188,5605006.0,4019750.0,1085.68,97.55,,57013395456,NO,791.57,869.37,572.23,848.79,703.28,2762,0.0,4925328,NO,NO,2026-03-20,22868800,651.23,-32.5
28,WDC,477.22,466.81,11662402,Technology,Computer Hardware,98.0,1.0,93.0,97.0,53.9956,43.8577,8437498.0,7157250.0,799.87,66.04,,164489216000,NO,594.02,554.08,312.15,550.37,377.44,12025,0.0,11662402,YES,NO,2009-06-30,65696343,622.62,-40.34
117,CELC,88.38,88.29,1305505,Healthcare,Biotechnology,97.0,65.0,1.0,6.0,7.9164,6.9586,1582213.0,2239420.0,151.02,13.47,,4309964288,NO,100.85,109.51,101.83,107.72,110.43,2217,0.0,1305505,NO,NO,2025-07-28,27636800,556.12,-41.48
23,AMDL,58.14,59.48,3183362,ETF,ETF,98.0,9.0,98.0,98.0,10.4903,8.4909,8100726.0,3386640.0,83.79,8.88,,0,NO,69.09,63.51,29.03,63.45,33.95,585,0.0,3183362,NO,NO,2025-10-06,106498200,554.73,-30.61
55,ICHR,82.87,83.74,1517849,Technology,Semiconductor Equipment & Materials,98.0,23.0,93.0,98.0,10.8701,9.5415,1174586.0,1118770.0,113.58,13.12,,2889432576,NO,95.39,82.3,45.85,83.75,57.45,2412,0.0,1517849,NO,NO,2018-08-24,8215700,531.63,-27.04
45,SOXL,135.47,142.48,104880949,ETF,ETF,98.0,0.0,96.0,98.0,33.8793,26.4743,61066278.0,61011070.0,302.0,22.57,,0,NO,205.82,205.03,93.92,200.04,114.73,4113,0.0,104880949,YES,NO,2025-04-09,787748800,500.22,-55.14
41,STX,787.66,745.49,7006393,Technology,Computer Hardware,98.0,2.0,96.0,98.0,80.94,67.7207,4451247.0,4629510.0,1145.0,138.3,,176616194048,NO,912.35,879.69,488.04,875.48,583.02,5936,0.0,7006393,NO,NO,2012-06-29,89629700,469.53,-31.21
53,VICR,237.62,230.41,964006,Technology,Electronic Components,98.0,1.0,86.0,95.0,31.5418,27.3454,909203.0,724190.0,382.65,41.76,,10831053824,NO,299.69,297.86,178.67,290.22,214.37,9138,0.0,964006,NO,NO,2023-07-26,4839800,469.01,-37.9
15,MXL,71.84,74.4,4838270,Technology,Semiconductors,98.0,5.0,98.0,98.0,13.1211,11.6111,5404808.0,2977390.0,128.3,12.77,,6432981504,NO,93.2,90.86,38.08,89.14,48.14,4104,0.0,4838270,NO,NO,2026-04-24,29044000,462.57,-44.01
90,AAOI,102.41,100.24,9532543,Technology,Communication Equipment,97.0,0.0,1.0,98.0,14.1626,13.0548,11966932.0,9241760.0,233.67,18.5,,8217661952,NO,130.17,159.8,86.55,151.71,108.52,3220,0.0,9532543,YES,NO,2022-09-16,77414200,453.57,-56.17
67,TSEM,234.1,237.92,2510523,Technology,Semiconductors,98.0,6.0,74.0,97.0,22.0821,18.5757,2208085.0,2087910.0,319.94,43.12,,26460614656,NO,248.36,252.86,160.32,252.36,187.65,7983,0.0,2510523,NO,NO,2022-02-15,19691500,442.9,-26.83
50,AEHR,81.05,84.2,5075377,Technology,Semiconductor Equipment & Materials,98.0,2.0,40.0,98.0,11.1114,9.005,2597732.0,3734220.0,126.62,14.99,,2632504064,NO,85.55,94.21,50.49,92.45,60.88,7274,0.0,5075377,NO,NO,2021-07-19,139700300,440.69,-35.99
85,INTC,95.04,96.98,120108222,Technology,Semiconductors,97.0,3.0,95.0,97.0,9.2493,7.8921,134395727.0,104730270.0,142.35,18.97,,477671030784,NO,119.49,117.27,64.17,115.46,75.53,11678,0.0,120108222,YES,NO,1993-04-19,567708800,401.0,-33.23
132,HUT,91.45,91.91,4602367,Financial Services,Capital Markets,97.0,1.0,93.0,95.0,10.8691,10.018,4538632.0,3693560.0,140.8,18.68,,10296731648,NO,107.92,110.87,66.84,110.26,76.1,2101,0.0,4602367,NO,NO,2025-12-17,22652500,389.56,-35.05
75,DOCN,118.91,117.02,2035561,Technology,Software - Infrastructure,98.0,1.0,94.0,97.0,12.3486,11.5801,3634475.0,3461260.0,187.5,25.56,,12409945088,NO,139.85,154.29,83.22,150.17,98.87,1335,0.0,2035561,NO,NO,2026-04-08,16602000,365.22,-36.58
144,CIEN,374.41,388.81,3363361,Technology,Communication Equipment,97.0,6.0,3.0,95.0,31.1143,27.7586,2721196.0,1717640.0,637.51,83.2,,52998832128,NO,446.07,499.95,340.06,481.79,399.73,7405,0.0,3363361,NO,NO,2011-06-08,36581000,350.01,-41.27
84,UCTT,92.43,92.6,2307174,Technology,Semiconductor Equipment & Materials,97.0,5.0,89.0,97.0,13.9243,12.4643,1308359.0,1629980.0,144.22,21.28,,4143484672,NO,110.61,97.96,57.74,99.18,70.63,5613,0.0,2307174,NO,NO,2018-01-02,7165600,334.35,-35.91
52,VPG,103.89,100.66,383119,Technology,Scientific & Technical Instruments,98.0,1.0,98.0,98.0,11.555,10.3021,578618.0,560060.0,151.78,25.58,,1381840896,NO,123.17,116.53,60.83,120.08,71.87,4041,0.0,383119,NO,NO,2026-05-13,1453400,306.14,-31.55
218,FORM,105.57,107.11,1794829,Technology,Semiconductor Equipment & Materials,96.0,1.0,5.0,93.0,12.5671,10.4493,1997337.0,1634310.0,160.27,26.08,,8229684736,NO,128.66,129.91,90.68,126.27,107.36,5811,0.0,1794829,NO,NO,2018-03-09,14323200,304.79,-34.13
104,VIAV,38.16,36.93,7463282,Technology,Communication Equipment,97.0,1.0,12.0,97.0,3.2514,2.9764,7400339.0,4619210.0,60.43,9.62,,9413524480,NO,44.44,48.24,30.62,46.82,36.51,8220,0.0,7463282,NO,NO,2013-12-20,87404420,296.67,-36.85
148,SHAZ,63.64,65.6,2060051,Technology services,Data processing services,97.0,4.0,98.0,,9.5114,8.5521,1089842.0,2123330.0,97.48,16.55,,1988750720,NO,77.5,69.75,,70.85,,104,0.0,2060051,NO,NO,2026-06-17,3956900,284.53,-34.71
65,PENG,60.41,65.97,4107941,Technology,Information Technology Services,98.0,56.0,98.0,98.0,9.9751,9.2192,3792424.0,6653890.0,89.86,16.04,,3095571456,NO,69.65,60.77,31.16,60.95,35.11,2299,0.0,4107941,NO,NO,2019-01-09,15604200,276.62,-32.77
59,SIMO,264.33,272.45,687004,Electronic technology,Semiconductors,98.0,14.0,98.0,98.0,27.3736,23.4443,1051126.0,692140.0,355.0,71.16,,8962689024,NO,311.42,286.68,156.84,287.05,184.6,5294,0.0,687004,NO,NO,2023-07-26,17771600,271.46,-25.54
128,AIP,31.04,31.03,820654,Technology,Semiconductors,97.0,1.0,95.0,97.0,3.5956,3.2357,1065022.0,863520.0,50.26,8.42,,1433178368,NO,38.25,36.87,21.5,36.95,24.54,1184,0.0,820654,NO,NO,2025-08-05,21920200,268.65,-38.24
147,MKSI,324.69,332.0,1891864,Technology,Scientific & Technical Instruments,97.0,7.0,89.0,96.0,29.8207,24.8371,1326277.0,1287220.0,447.62,88.49,,21930903552,NO,377.97,345.13,235.57,345.92,272.37,6867,0.0,1891864,NO,NO,2017-11-21,9564400,266.92,-27.46
129,ACMR,83.92,84.09,950723,Technology,Semiconductor Equipment & Materials,97.0,11.0,97.0,96.0,10.9114,9.0225,1688626.0,1340730.0,127.19,23.03,,5799668224,NO,101.95,87.46,56.07,89.29,64.17,2186,0.0,950723,NO,NO,2024-02-28,12244400,264.39,-34.02
238,NBIS,177.71,171.77,24812710,Communication Services,Internet Content & Information,95.0,1.0,70.0,96.0,25.3185,22.3014,17639654.0,17611250.0,299.86,49.0,,45120249856,NO,229.92,224.83,137.85,226.59,150.45,435,0.0,24812710,YES,NO,2025-09-09,88378300,262.67,-40.74
195,TER,322.36,322.3,3516681,Technology,Semiconductor Equipment & Materials,96.0,2.0,8.0,92.0,35.7967,30.096,4411985.0,3627360.0,487.91,89.18,,50462150656,NO,393.61,380.7,278.95,375.76,322.22,13464,0.0,3516681,NO,NO,2020-09-18,30212400,261.47,-33.93
832,ECHO,92.0,91.54,5827833,Communication Services,Telecom Services,87.0,1.0,1.0,4.0,4.6171,4.3221,8451208.0,4592100.0,147.25,26.04,,26662842368,NO,98.63,114.79,105.12,111.69,115.54,4664,0.0,5827833,NO,NO,2026-06-12,50142900,253.3,-37.52
176,LRCX,313.3,320.96,12781956,Technology,Semiconductor Equipment & Materials,96.0,5.0,89.0,94.0,29.9636,24.3478,11260026.0,11646170.0,438.5,90.94,,391803895808,NO,363.56,336.25,233.25,336.15,266.08,10632,0.0,12781956,YES,NO,2012-06-04,298766000,244.51,-28.55
156,AMAT,529.66,560.93,10020863,Technology,Semiconductor Equipment & Materials,96.0,14.0,94.0,96.0,51.7971,43.5007,9431732.0,9511230.0,739.67,154.47,,420528521216,NO,607.43,525.61,358.39,531.82,409.8,11678,0.0,10020863,YES,NO,1997-10-24,245229200,242.89,-28.39
184,POWL,232.79,235.79,1359607,Industrials,Electrical Equipment & Parts,96.0,2.0,38.0,96.0,15.1486,13.0386,736431.0,779260.0,328.0,69.0,,8480923136,NO,260.84,279.41,184.74,272.42,214.1,11678,0.0,1359607,NO,NO,2024-07-31,5279700,237.38,-29.03
204,TTMI,132.0,130.14,2107751,Technology,Electronic Components,96.0,0.0,81.0,91.0,12.4421,10.9736,2719334.0,2426080.0,223.83,39.2,,13708207104,NO,169.58,174.27,108.98,173.5,127.47,6490,0.0,2107751,NO,NO,2016-11-17,20793200,236.73,-41.03
243,COHR,277.6,276.96,5950597,Technology,Scientific & Technical Instruments,95.0,1.0,6.0,94.0,27.6802,25.2688,5921078.0,4421010.0,440.0,84.35,,54309478400,NO,347.75,365.45,246.86,358.91,286.42,9770,0.0,5950597,NO,NO,2026-03-20,51484800,229.1,-36.91
415,NKTR,68.26,67.05,538340,Healthcare,Biotechnology,93.0,92.0,4.0,97.0,4.3171,4.1864,1185131.0,887980.0,109.0,21.02,,2306234624,NO,67.84,67.11,62.43,65.31,64.26,8106,0.0,538340,NO,NO,2025-06-24,37172700,224.74,-37.38
83,CDNL,71.23,71.39,2303758,Industrials,Engineering & Construction,97.0,63.0,95.0,98.0,7.2577,7.1554,627539.0,778630.0,96.4,21.98,,1417198080,NO,77.94,65.74,,66.91,45.34,150,0.0,2303758,NO,NO,2025-12-10,3595800,224.07,-26.11
152,VSH,37.81,36.44,5672872,Technology,Semiconductors,96.0,0.0,95.0,97.0,4.4543,3.8893,7124283.0,6740690.0,69.47,11.77,,5799218688,NO,49.24,49.01,25.73,50.28,30.33,11678,0.0,5672872,NO,NO,2010-11-04,49052300,221.24,-45.57
115,ALAB,303.62,319.74,7218092,Technology,Semiconductors,97.0,4.0,97.0,96.0,46.3351,40.5294,6056668.0,4560920.0,499.48,96.79,,52042874880,NO,397.83,338.9,203.09,349.84,219.38,583,0.0,7218092,NO,NO,2024-11-05,24756900,213.69,-39.21
249,ONTO,279.85,281.61,1379983,Technology,Semiconductor Equipment & Materials,95.0,7.0,59.0,91.0,30.9649,25.707,1283298.0,1277340.0,386.46,89.4,,13920738304,NO,319.01,294.49,214.57,293.59,245.56,1688,0.0,1379983,NO,NO,2023-10-17,9552200,213.03,-27.59
171,KLIC,97.22,99.02,955157,Technology,Semiconductor Equipment & Materials,96.0,4.0,90.0,96.0,9.9479,8.6564,1028824.0,989090.0,135.8,31.32,,5087802368,NO,117.3,109.7,70.12,109.87,81.97,13464,0.0,955157,NO,NO,2000-08-03,23567800,210.41,-28.41
139,MRVL,188.68,188.3,29542911,Technology,Semiconductors,97.0,1.0,95.0,98.0,21.0271,17.8043,42724547.0,26998660.0,329.88,61.44,,169348677632,NO,251.46,235.55,129.86,236.85,147.4,6549,0.0,29542911,YES,NO,2026-06-18,250989400,207.1,-42.8
836,GPCR,48.48,46.03,915188,Healthcare,Biotechnology,87.0,92.0,10.0,1.0,3.0037,2.9144,814595.0,616080.0,94.9,15.8,,3445692416,NO,50.69,43.98,50.93,44.72,56.19,865,0.0,915188,NO,NO,2025-12-08,19520000,206.84,-48.91
267,AMKR,62.94,63.02,4196089,Technology,Semiconductor Equipment & Materials,95.0,1.0,39.0,88.0,6.1129,5.0357,5547919.0,4697560.0,96.68,20.87,,15601095680,NO,75.53,74.18,52.36,72.56,59.09,7096,0.0,4196089,NO,NO,2021-02-12,27265800,201.58,-34.9
246,SITM,554.97,564.59,489488,Electronic technology,Semiconductors,95.0,3.0,87.0,95.0,52.4407,45.2787,579540.0,479400.0,901.81,186.49,,16624413696,NO,652.31,697.98,446.13,675.52,503.49,1671,0.0,489488,NO,NO,2026-03-20,4028500,197.59,-38.46
274,GLW,154.61,158.39,14202527,Technology,Electronic Components,95.0,6.0,13.0,96.0,19.4945,16.728,14699227.0,11579350.0,271.78,53.29,,133063213056,NO,199.39,192.05,132.27,188.21,150.07,11225,0.0,14202527,YES,NO,2002-07-31,244754000,190.13,-43.11
