Rank,Industry,Sector,Relative Strength,Relative Strength Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Ticker
1,Uranium,Energy,156.37,99,139.89,89.0,89.52,"LEU,UUUU,CCJ,UEC,NXE,ISOU"
2,Computer Hardware,Technology,154.64,99,147.3,129.02,141.02,"RGTI,UMAC,RCAT,IONQ,OSS,STX,WDC,ANET,SMCI,CRSR,SSYS,SNDK,DELL,LOGI,ALOT,PSTG,CRCT,NTAP,QMCO,HPQ"
3,Electrical Equipment & Parts,Industrials,141.31,98,126.47,105.34,121.65,"TGEN,AMPX,LTBR,RFIL,BE,NEOV,EOSE,ESP,ENVX,ULBI,VRT,AEIS,POWL,NVT,HAYW,HUBB,AYI,KE,PLPC,ENS,ENVXW,ATKR,FCEL,IPWR,ADSE,ENR,STI"
4,Capital Markets,Financial Services,140.49,97,115.55,122.54,136.26,"CRCL,BMNR,BTM,BTCS,HOOD,DOMH,IREN,FUTU,TIGR,IBKR,CIFR,RIOT,GLXY,COHN,SNEX,PJT,LPLA,GS,HUT,SCHW,EVR,VIRT,OPY,MRX,WULF,ETOR,MS,LAZ,HLI,FRGE,SF,PIPR,NMR,MC,CLSK,TW,BGC,PWP,XP,JEF,MARA,SOS,MKTX,NCTY,SRL,AMRK,CNCK"
5,Gambling,Consumer Cyclical,137.98,97,110.17,100.32,106.7,"SBET,SGHC,FLUT,RSI,DKNG,CDRO,ACEL,INSE,LNW,CHDN,GAMB,BRSL"
6,Utilities - Independent Power Producers,Utilities,136.9,96,133.3,126.45,149.54,"TLN,NRG,KEN,VST,TAC,PAM"
7,Internet Retail,Consumer Cyclical,136.57,95,127.21,120.21,110.68,"NEGG,TDUP,OCG,BYON,W,SE,DASH,CPNG,EBAY,ETSY,BABA,CART,MELI,AMZN,VIPS,CHWY,PDD,JD,WBUY,RVLV,LQDT,JFBR,GLBE,QVCGP"
8,Other Precious Metals & Mining,Basic Materials,130.94,95,121.83,125.46,100.89,"SBSW,SLSR,PPTA,MUX,TFPM,BVN,HL"
9,Solar,Technology,129.26,94,99.7,91.61,70.17,"VVPR,SEDG,NXT,FTCI,SHLS,JKS,CSIQ,RUN,ARRY,FSLR,ENPH"
10,Metal Fabrication,Industrials,126.3,93,123.26,112.31,108.2,"MTEN,ATI,CRS,CMPO,WOR,TG,MLI,IIIN,ESAB,PRLB,GIFI,MEC,RYI"
11,Engineering & Construction,Industrials,125.52,93,124.26,100.3,113.72,"PHOE,ONEG,MSGY,WLDN,TPC,MIMI,AGX,STRL,IESC,MYRG,DY,BWMN,MTZ,ECG,PRIM,FIX,APG,PWR,EME,ROAD,STN,FLR,MTRX,FER,NVEE,ORN,GVA,AMRC,ACM,GLDD,J,BLD,BBCP,ESOA,TTEK,ACA,CDLR,VATE,EXPO,KBR"
12,Consumer Electronics,Technology,124.88,92,86.2,93.37,94.88,"ZEPP,AXIL,SONY,FOXX,TBCH,SONO,AAPL,KOSS,UEIC"
13,Pollution & Treatment Controls,Industrials,124.71,91,116.06,85.34,105.47,"ADUR,PCT,CECO,FSS,ARQ,ZWS,VLTO,ERII"
14,Silver,Basic Materials,124.64,91,125.78,105.4,102.35,"MAG,EXK,AG"
15,Airports & Air Services,Industrials,123.91,90,110.25,112.12,102.82,"JOBY,OMAB,PAC,CAAP,ASR,ASLE"
16,Other Industrial Metals & Mining,Basic Materials,123.26,89,104.33,110.86,96.67,"TMC,MP,IPX,SKE,CMP,NVA,BHP,USAR,VALE,RIO,MTRN,USGO,PLL,NEXM,ATLX,TECK,LITM,NEXA,SGML"
17,Aerospace & Defense,Industrials,123.08,88,122.25,114.2,125.51,"RKLB,PL,ISSC,KTOS,DPRO,ACHR,EVEX,OPXS,ATRO,ESLT,HWM,LUNR,AVAV,KRMN,RDW,TATT,AXON,DCO,DRS,CW,WWD,GE,TGI,BYRN,BA,CAE,HEI,RTX,PKE,AIR,EH,VSEC,MRCY,NPK,BWXT,ERJ,EVTL,LHX,NOC,SPR,TDG,HII,GD,CODA,HXL,TXT,POWWP,SARO,AIRO,CDRE,LOAR,VVX,RGR,LMT,VOYG,SWBI,PEW"
18,Electronic Components,Technology,119.66,88,118.25,107.25,110.66,"NEON,OUST,CLS,TTMI,ALNT,JBL,APH,KULR,FLEX,LINK,TEL,BELFB,FN,OSIS,SANM,GLW,DAKT,BELFA,ELTK,LYTS,KN,LFUS,RELL,VICR,OLED,BHE,CTS,PLXS,MPTI,ROG,MEI,GAUZ,HOLO"
19,Luxury Goods,Consumer Cyclical,118.51,87,106.52,101.28,144.85,"SORA,TPR,REAL,SIG,LUXE,ELA,MOV,CPRI"
20,Communication Equipment,Technology,117.75,86,122.21,117.01,129.04,"ASTS,COMM,TSAT,AAOI,FEIM,UI,LITE,BKTI,BOSC,GILT,VSAT,CIEN,EXTR,CLFD,ADTN,CSCO,NTGR,BDC,DGII,AVNW,ZBRA,HPE,VIAV,SILC,AUDC,MSI,ERIC,AIRG,HLIT,INSG,CLRO"
21,Software - Infrastructure,Technology,116.79,86,119.13,112.98,120.09,"AEVA,ARQQ,TAOX,CRWV,PDYN,PGY,PAYS,PLTR,VHC,GRRR,ATGL,JG,ZENA,NET,SUPX,AISP,RBRK,ALLT,ODD,AMBR,TWLO,ORCL,BKKT,AFRM,NYAX,TOST,CALX,NN,ZS,BASE,CTLP,KPLT,VRSN,CORZ,YEXT,MQ,CRWD,RDWR,AVPT,GCT,FFIV,FTNT,MSFT,SNPS,FOUR,EXOD,CSGS,NTNX,DLO,XYZ,ATEN,GEN,CYBR,IIIV,GB,RAMP,VRNS,TCX,STNE,CHKP,PANW,ALAR,INFA,CFLT,CGNT,BOX,MDB,NTCT,WEX,OKTA,PAY,EVCM,AVDX,QLYS,EEFT,SAIL,KVYO,DOX,CCSI,DBX,CPAY,AI,PRTH,PATH,EVTC,OS,VRNT,SANG,RELY,BAND,OSPN,GDDY,BLZE,ZETA,FLYW,FIVN,PAYO,CINT,APPN,ACIW,S,IOT,ARAI,AKAM,GTLB,PAGS,TENB,WIX,PRGS,RPAY,KSPI,DOCN,TDC,CLBT,SNCR,PSFE,RPD,FATN,DAVA,IMXI,MLGO"
22,Semiconductors,Technology,115.94,85,113.69,88.55,102.64,"ALMU,NVTS,CRDO,LASR,WKEY,ALAB,POET,PXLW,AVGO,ALGM,GSIT,NVDA,SMTC,SIMO,AMD,TSM,HIMX,MCHPP,MXL,RMBS,SKYT,MTSI,MU,SLAB,AIP,ARM,MCHP,SITM,TSEM,MRAM,ASX,ON,ADI,UMC,VSH,QRVO,NXPI,MRVL,MPWR,TXN,STM,LSCC,GFS,DIOD,AOSL,PI,INTC,QCOM,SYNA,CRUS,IMOS,QUIK,NVEC,SWKS,CEVA,POWI"
23,Gold,Basic Materials,115.5,84,128.15,137.24,99.24,"CNL,CMCL,SSRM,ORLA,ARMN,AU,AAUC,CDE,USAU,SAND,KGC,WPM,IDR,OR,NG,AEM,GFI,FSM,CTGO,IAG,NEM,PAAS,SA,DRD,HMY,AGI,EGO,B,FNV,CGAU,EQX,AUGO,RGLD,BGL,NAMM"
24,Education & Training Services,Consumer Defensive,115.21,84,128.66,116.79,115.86,"QSG,LGCY,COE,STG,FEDU,LINC,DAO,APEI,UTI,LRN,LAUR,ATGE,PRDO,COUR,LOPE,GHC,TAL,UDMY,STRA,AFYA,EDU,SKIL,FC,KLC"
25,Coking Coal,Basic Materials,114.63,83,77.71,84.85,72.37,"METC,METCB,HCC,SXC,AMR"
26,Consulting Services,Industrials,114.55,82,120.17,86.1,129.61,"DGNX,HURN,VRSK,CRAI,EFX,FCN,EGG,BAH,FORR,ICFI,RGP"
27,Publishing,Communication Services,113.64,82,85.34,96.16,95.14,"DALN,SCHL,NYT,PSO,WLY,LEE"
28,Tobacco,Consumer Defensive,113.46,81,120.57,128.9,112.75,"TPB,BTI,PM,MO,UVV"
29,Credit Services,Financial Services,113.4,80,123.35,121.68,128.76,"SEZL,XYF,SOFI,UPST,LX,FOA,OPRT,OPFI,FINV,SYF,SLM,COF,ENVA,WRLD,BFH,OMF,V,GDOT,QFIN,AXP,NNI,ATLC,YRD,PYPL,MA,MFIN,RWAY,ALLY,EZPW,FCFS,OMCC,SLMBP,CACC,NAVI,RM,ATLCP,CPSS,ANTA,ECPG,AGM,JCAP,WU,PRAA,PMTS"
30,Internet Content & Information,Communication Services,113.17,79,116.14,109.9,105.34,"AREN,SOGP,GRPN,NBIS,JFIN,TME,RDDT,SPOT,BMBL,CMCM,BILI,JOYY,MOMO,BZ,LCFY,META,PERI,Z,GENI,RUM,ZG,PINS,WB,VBIX,EVER,OPRA,GOOGL,GOOG,IAC,UPWK,MTCH,BIDU,ATHM,FVRR,ANGI,UPXI,SNAP,YELP,MAX,NRDS,DJTWW,DOYU,CARS,WBTN,TZOO,SSTK,SCOR,THRY,DJT,SLE"
31,Banks - Diversified,Financial Services,113.06,79,112.08,112.85,105.72,"SAN,C,BCS,BK,HSBC,ING,BBVA,TD,MUFG,JPM,CM,WFC,UBS,BMO,SMFG,NTB,BAC,BNS,RY"
32,Entertainment,Communication Services,112.85,78,112.62,110.62,114.13,"CNVS,AENT,WBD,LLYVK,LLYVA,STRZ,NFLX,IMAX,ROKU,SPHR,DIS,LYV,FOXA,FOX,TKO,PLAY,FWONK,FWONA,PARA,MANU,BATRA,BATRK,MCS,RDIB,NWS,NWSA,CNK,RSVR,PARAA,WMG,MSGS,SIRI,BREA,AMCX"
33,Advertising Agencies,Communication Services,112.15,77,99.6,102.54,119.98,"TZUP,SDM,APP,MGNI,NEXN,ACCS,LDWY,EEX,TTD,KRKR,IAS,IPG,OMC,QNST,TSQ,STGW,NCMI,ZD,WPP,CRTO"
34,Auto Parts,Consumer Cyclical,112.0,77,100.74,92.88,95.13,"HSAI,QS,STRT,CPS,MPAA,AAP,ADNT,GTX,DAN,SRI,VC,ALV,ORLY,SMP,PLOW,BWA,AZO,APTV,LEA,MGA,GT,PHIN,FOXF,DORM,GPC,ATMU,XPEL,THRM,MBLY,MOD,ALSN,GNTX,MNRO,MLR,LKQ"
35,Health Information Services,Healthcare,110.9,76,112.27,100.75,105.15,"SY,CTEV,OPRX,LFMD,STRM,CCLDO,DOCS,VEEV,TBRG,BTSG,TEM,BTSGU,HNGE,WAY,TXG,PHR,SPOK,HQY,LFMDP,PINC,CARL,GEHC,SDGR,TDOC,AMWL,NRC,PRVA,GDRX,HSTM,OMCL,OMDA,CERT,EVH,WEAV,ACON,SLP"
36,Airlines,Industrials,110.89,75,96.47,86.16,124.26,"SRFM,LTM,RYAAY,UAL,SKYW,CPA,LUV,DAL,ALK,SNCY,AAL,ALGT,VLRS"
37,Specialty Industrial Machinery,Industrials,110.87,75,108.46,98.62,110.94,"PSIX,SMR,GEV,SYM,AMSC,NNE,GHM,HUHU,MIR,XMTR,GTES,ROK,EMR,NPO,JBTM,SERV,TAYD,WTS,CR,ETN,PH,CMI,RRX,GTLS,HURC,ATS,GNRC,ITT,MIDD,PNR,CXT,KRNT,FLS,XYL,ITW,MWA,AME,AOS,DOV,GGG,HLIO,NDSN,LXFR,DCI,KAI,GRC,SXI,IR,THR,TNC,TWIN,FELE,IEX,OTIS,EPAC,OFLX,CSW,HI,PKOH"
38,Biotechnology,Healthcare,110.66,74,103.42,95.14,97.49,"DRUG,DBVT,MNPR,QNTM,CDTX,HYPD,VIGL,SGMT,PVLA,TNGX,ATHE,VRNA,MEIP,INKT,AMLX,AAPG,ARTL,KOD,NAGE,TVRD,TNXP,FULC,ATYR,TRVI,SANA,ELTX,COGT,EPRX,XCUR,ACOG,SCPH,NEUP,ADPT,PTHS,INBX,ABCL,VERV,SRRK,NKTR,NBTX,MTSR,AVXL,CVAC,AGEN,TIL,PULM,KZIA,ORIC,COEP,ZVRA,AKRO,URGN,DNA,RYTM,SLDB,FENC,XERS,GHRS,SLNO,MESO,ALDX,ATRA,KALA,CRSP,SLGL,MAZE,LQDA,QURE,EXEL,BBIO,ICCC,ACAD,INSM,ASMB,OCUL,MGTX,MRUS,ZLAB,PHAT,MNMD,ONC,CRMD,FBRX,ZBIO,TERN,NAMSW,NTRB,ETNB,SMMT,RZLT,SPRY,CRVO,KALV,EYPT,RAPT,ARQT,ALNY,TENX,PTGX,RIGL,LENZ,TGTX,PBM,CORT,AUPH,MLTX,MIRM,SEPN,IRON,NAMS,LGND,VALN,AARD,RPRX,CADL,ABEO,STOK,IONS,FHTX,ASND,TBPH,CING,MENS,KYMR,ITOS,CNTA,PRAX,GLPG,PHAR,MDWD,ANAB,DMAC,RAPP,HRMY,ZYME,PHVS,GLUE,INCY,LEGN,MLYS,AGIO,PTCT,BLTE,IMNM,NGNE,CELC,SLN,AXSM,LYRA,IMCR,NTLA,VRDN,UPB,SION,OCS,PRTG,VSTM,GMAB,SAGE,LIMN,CAI,JAZZ,MDGL,TARS,HALO,BNTC,BNTX,ALGS,ARGX,CSBR,ACLX,FBIOP,MCRB,TRML,ROIV,INVA,IMTX,TVTX,PRTC,SPRC,WVE,ADXN,XOMAO,IDYA,ELVN,MBX,NUVL,XOMAP,ENTA,ADMA,COYA,CPRX,VRTX,XOMA,APGE,MDXG,EXOZ,AURA,PLUR,NVCT,CGON,VKTX,CLDX,AVTX,ORKA,RGNX,RNA,RXRX,GLSI,TECH,AVBP,DNTH,ARWR,ATXS,ARCT,CYBN,SRZN,IMVT,TECX,BEAM,BMRN,RVMD,CVKD,RCUS,VCEL,RNAC,KRYS,SYRE,APLS,SER,MRNA,NVAX,TLX,ACTU,CYTK,THRD,LYEL,QNRX,REGN,XENE,CGEM,KROS,TYRA,CRNX,VERA,VIR,CRBP,CTNM,DNLI,SNSE,BCAX,NRIX,EWTX,FOLD,KURA,FGEN,APLM,DAWN,BCYC,AIM,GYRE,BOLT,JANX,PCVX,NXTC,GPCR,FTRE,RARE,SNDX,CAPR,XNCR,PASG,TPST,DYN,KRRO,CBIO,ARVN,TRDA,BIVI,CVM,PRTA,INDP,BHVN,RNAZ,CLRB,CNSP,CYCC,CERO,SRPT,JBIO"
39,Software - Application,Technology,110.34,73,111.26,106.24,114.78,"PRCH,MFI,DAVE,KC,OCFT,AZ,BLBX,DOMO,ALTS,IDN,APPS,YB,LIF,CRNC,OLO,SRAD,NUKK,CCRD,DUOT,INUV,U,SOUN,YALA,MSTR,ATHR,SNOW,SHOP,PEGA,AMPL,IDCC,BTDR,RDVT,QXO,STRK,VERB,DBD,INTU,DDOG,GRAB,AGYS,BSY,DUOL,GRND,FROG,UBER,PAYC,STRF,GWRE,INLX,PTC,YMM,VTSI,BULL,KARO,YOU,EGAN,CDNS,SAP,SSNC,DFIN,CXM,LYFT,GTM,PAR,CVLT,DT,MNDY,QTWO,PCOR,MNTN,BL,APPF,ADSK,ADEA,RSKD,DOCU,ADP,NOW,TTAN,NCNO,PCTY,LSPD,ZM,PAYX,FRSH,VTEX,OTEX,ULY,STRD,DSP,OOMA,ASUR,TYL,SMWB,FSLY,ROP,MANH,MITK,DAY,DSGX,WDAY,UPBD,NICE,CHYM,ESTC,ASAN,WRD,PDFS,ALRM,CCCS,DV,CRM,HUBS,PUBM,TEAM,XPER,DJCO,SPNS,MTLS,RNG,NATL,ONTF,SSTI,ALIT,BLKB,CWAN,TRAK,IMMR,PLUS,ALKT,ADBE,MLNK,WK,BIGC,DCBO,BRZE,PD,BILL,FICO,INTA,SPSC,VERX,AEYE,CYN,PRO,SEMR,SPT,IBTA,DMRC,JAMF"
40,Travel Services,Consumer Cyclical,109.67,73,99.76,97.72,120.24,"RCL,CUK,CCL,VIK,TNL,BKNG,LIND,EXPE,TRIP,NCLH,TCOM,ABNB,MMYT,GBTG,PRSU"
41,Auto Manufacturers,Consumer Cyclical,107.75,72,103.04,99.87,87.79,"CYD,FLYE,XPEV,ZK,LI,RACE,TSLA,RIVN,HMC,GM,F,TM,VLCN,STLA,AYRO"
42,Information Technology Services,Technology,107.26,71,108.36,106.09,107.55,"TSSI,BBAI,VNET,GDS,APLD,INOD,MGIC,FORTY,IBEX,PONY,SAIH,PENG,WNS,VYX,KD,DTST,IBM,TASK,CNXC,BR,TTEC,AUR,G,LDOS,JKHY,CACI,CTSH,EXLS,INGM,FIS,VRRM,CDW,PSN,LZMH,GIB,SAIC,XRX,EPAM,NABL,INFY,HCKT,ACN,DXC,ASGN,FI,IT,CSPI,GDYN,ARBB,TTGT,GLOB,DAIC"
43,Medical Care Facilities,Healthcare,106.66,71,92.82,92.51,94.8,"NAKA,NUTX,AIRS,BKD,FMS,HCSG,EHC,THC,MD,ENSG,AMED,CCM,GRDN,JYNT,SNDA,HCA,DVA,ADUS,OPCH,CCRN,USPH,NHC,CON,SGRY,EHAB,AUNA,CHE,PNTG,UHS,SEM,PACS,ARDT,AMN,ACHC,PIII,ASTH"
44,Utilities - Renewable,Utilities,106.2,70,95.75,93.13,91.68,"WAVE,ENLT,CEG,FLNC,STEM,BEPC,ELLO,ORA,RNW,CWEN,BEP,EBR,XIFR,HTOO"
45,Aluminum,Basic Materials,106.16,69,90.74,84.5,83.38,"CENX,KALU,CSTM,AA"
46,Electronic Gaming & Multimedia,Communication Services,106.03,68,104.55,95.54,88.74,"RBLX,SKLZ,NTES,SOHU,TTWO,EA,GRVY,GDEV,DDI,TRUG"
47,Farm & Heavy Construction Machinery,Industrials,105.96,67,100.18,92.02,102.74,"AGFY,REVG,MTW,OSK,TWI,CAT,ALG,DE,AGCO,VAPE,CNH,ASTE,TEX,BLBD,LNN,PCAR,GENC,AEBI,HY,WNC,CMCO,TLIH"
48,Financial Conglomerates,Financial Services,105.96,67,71.39,81.56,74.56,"FRHC,RILYL,RILYP,RILY,IX,VOYA,HTH,TREE"
49,Restaurants,Consumer Cyclical,105.65,66,102.08,101.31,107.1,"MB,RRGB,VENU,BH,PBPB,YOSH,CAKE,CBRL,SHAK,EAT,BDL,KRUS,BROS,YUMC,CNNE,DRI,BJRI,NATH,PZZA,TXRH,SBUX,WING,YUM,QSR,HDL,DPZ,MCD,LOCO,PTLO,FWRG,DIN,ARCO,RICK,BLMN,CMG,CAVA,ARKR,CHA,WEN,JACK,SG"
50,Beverages - Wineries & Distilleries,Consumer Defensive,104.97,66,167.8,96.38,115.24,"EPSM,DEO,MGPI,AMZE"
51,Footwear & Accessories,Consumer Cyclical,104.78,65,90.56,87.56,114.14,"FORD,FMFC,WWW,RCKY,NKE,ONON,SKX,WEYS,BIRK,CROX,SHOO,DECK"
52,Rental & Leasing Services,Industrials,104.36,64,104.6,98.61,101.44,"CAR,HTZ,ALTG,CTOS,AL,R,URI,AER,GATX,MGRC,HRI,FTAIM,WLFC,FTAI,FTAIN,PRG,WSC,UHAL,VSTS"
53,Agricultural Inputs,Basic Materials,103.92,64,112.06,106.09,98.7,"MOS,IPI,ICL,CTVA,NTR,CF,UAN,SMG,FMC"
54,Confectioners,Consumer Defensive,103.87,63,95.03,103.62,78.79,"TR,MDLZ,HSY"
55,Department Stores,Consumer Cyclical,103.85,62,74.83,64.9,81.2,"DDS,KSS,M"
56,Utilities - Regulated Electric,Utilities,103.46,62,108.01,114.66,99.74,"OKLO,KEP,GNE,TXNM,ETR,EMA,ELP,ELPC,VIASP,CNP,IDA,XEL,WEC,AEE,EVRG,ES,PPL,FTS,CEPU,LNT,DTE,D,SO,NGG,AEP,OGE,EXC,CMS,PEG,DUK,PNW,NEE,ED,HE,FE,EDN,MGEE,NWE,POR,EIX,PCG"
57,Copper,Basic Materials,102.89,61,100.09,87.44,72.89,"IE,HBM,MTAL,FCX,SCCO,ERO"
58,Financial Data & Stock Exchanges,Financial Services,101.62,60,106.02,98.55,97.85,"COIN,MKTW,NDAQ,CBOE,CME,ICE,MCO,TRU,SPGI,MSCI,FDS,MORN,VALU,DNB"
59,Industrial Distribution,Industrials,101.61,59,97.11,94.38,97.74,"DXPE,EVI,REZI,CNM,FAST,WCC,TITN,FERG,AIT,MSM,DNOW,GIC,WSO,GWW,POOL,SITE,DSGR,BXC"
60,Oil & Gas Refining & Marketing,Energy,100.92,59,96.25,84.57,81.71,"PARR,DK,CVI,DINO,MPC,DKL,VLO,WKC,PSX,CAPL,PBF,SGU,SUN,DLXY,IEP"
61,Resorts & Casinos,Consumer Cyclical,100.31,58,92.9,85.19,88.18,"MLCO,MCRI,HGV,WYNN,BYD,LVS,VAC,RRR,MGM,PENN,MTN,GDEN,CPHC,CZR,BALY"
62,Diagnostics & Research,Healthcare,99.49,57,99.01,103.14,115.53,"PRPO,BNR,XGN,GRAL,PSNL,PRE,MEDP,GH,WGS,IDXX,LH,QGEN,CRL,NDRA,FONR,DGX,IQV,ILMN,NTRA,MTD,ICLR,A,FLGT,RDNT,STRRP,RVTY,EXAS,SHC,TMO,DHR,WAT,TWST,VCYT,CSTL,CDNA,NEOG,NEO,APDN"
